"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 01 11:52:03 GMT 2021","Sat May 01 11:52:05 GMT 2021","2434","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testAddCategory","testAddCategory",""
"passed","Sat May 01 11:53:26 GMT 2021","Sat May 01 11:53:32 GMT 2021","6358","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testDeclinePost","testDeclinePost",""
"passed","Sat May 01 11:52:08 GMT 2021","Sat May 01 11:52:12 GMT 2021","3828","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testUpdateCategory","testUpdateCategory",""
"passed","Sat May 01 11:52:51 GMT 2021","Sat May 01 11:52:56 GMT 2021","4946","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testAddSubCategory","testAddSubCategory",""
"passed","Sat May 01 11:52:20 GMT 2021","Sat May 01 11:52:23 GMT 2021","3065","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testCreateUser","testCreateUser",""
"passed","Sat May 01 11:53:06 GMT 2021","Sat May 01 11:53:10 GMT 2021","3407","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testDeleteCategory","testDeleteCategory",""
"passed","Sat May 01 11:51:48 GMT 2021","Sat May 01 11:51:55 GMT 2021","7854","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testRequiredLogin","testRequiredLogin",""
"passed","Sat May 01 11:51:56 GMT 2021","Sat May 01 11:51:59 GMT 2021","3249","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testLoginSuccessfully","testLoginSuccessfully",""
"passed","Sat May 01 11:52:38 GMT 2021","Sat May 01 11:52:42 GMT 2021","4110","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUnLockUser","testUnLockUser",""
"passed","Sat May 01 11:52:26 GMT 2021","Sat May 01 11:52:29 GMT 2021","2637","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUpdateUser","testUpdateUser",""
"passed","Sat May 01 11:52:45 GMT 2021","Sat May 01 11:52:49 GMT 2021","3255","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testDeleteUser","testDeleteUser",""
"passed","Sat May 01 11:53:14 GMT 2021","Sat May 01 11:53:23 GMT 2021","9134","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testVerifyPost","testVerifyPost",""
"passed","Sat May 01 11:52:32 GMT 2021","Sat May 01 11:52:35 GMT 2021","3587","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testLockUser","testLockUser",""
"passed","Sat May 01 11:52:59 GMT 2021","Sat May 01 11:53:03 GMT 2021","4069","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testUpdateCategory","testUpdateCategory",""
"passed","Sat May 01 11:52:15 GMT 2021","Sat May 01 11:52:17 GMT 2021","2554","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testDeleteCategory","testDeleteCategory",""
