"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 01 10:47:45 GMT 2021","Sat May 01 10:47:51 GMT 2021","5866","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testDeclinePost","testDeclinePost",""
"passed","Sat May 01 10:47:23 GMT 2021","Sat May 01 10:47:27 GMT 2021","3495","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testUpdateCategory","testUpdateCategory",""
"passed","Sat May 01 10:46:39 GMT 2021","Sat May 01 10:46:42 GMT 2021","3340","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testUpdateCategory","testUpdateCategory",""
"passed","Sat May 01 10:46:44 GMT 2021","Sat May 01 10:46:47 GMT 2021","2695","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testDeleteCategory","testDeleteCategory",""
"passed","Sat May 01 10:46:30 GMT 2021","Sat May 01 10:46:32 GMT 2021","2222","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testLoginSuccessfully","testLoginSuccessfully",""
"passed","Sat May 01 10:46:49 GMT 2021","Sat May 01 10:46:52 GMT 2021","2686","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testCreateUser","testCreateUser",""
"passed","Sat May 01 10:47:17 GMT 2021","Sat May 01 10:47:21 GMT 2021","4672","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testAddSubCategory","testAddSubCategory",""
"passed","Sat May 01 10:47:06 GMT 2021","Sat May 01 10:47:10 GMT 2021","3406","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUnLockUser","testUnLockUser",""
"passed","Sat May 01 10:46:35 GMT 2021","Sat May 01 10:46:37 GMT 2021","2097","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testAddCategory","testAddCategory",""
"passed","Sat May 01 10:47:29 GMT 2021","Sat May 01 10:47:32 GMT 2021","2771","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testDeleteCategory","testDeleteCategory",""
"passed","Sat May 01 10:47:35 GMT 2021","Sat May 01 10:47:43 GMT 2021","8147","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testVerifyPost","testVerifyPost",""
"passed","Sat May 01 10:46:25 GMT 2021","Sat May 01 10:46:30 GMT 2021","4297","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testRequiredLogin","testRequiredLogin",""
"passed","Sat May 01 10:46:54 GMT 2021","Sat May 01 10:46:58 GMT 2021","4151","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUpdateUser","testUpdateUser",""
"passed","Sat May 01 10:47:00 GMT 2021","Sat May 01 10:47:04 GMT 2021","3723","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testLockUser","testLockUser",""
"passed","Sat May 01 10:47:12 GMT 2021","Sat May 01 10:47:14 GMT 2021","2869","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testDeleteUser","testDeleteUser",""
