"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Admin can login","1","0","0","0","0"
"","","Admin can delete user","0","0","1","0","0"
"","","Admin can delete category","1","0","1","0","0"
"","","Admin can add subcategory","0","0","1","0","0"
"","","Admin can create user","0","0","1","0","0"
"","","Admin can lock user","0","0","1","0","0"
"","","Email and password should be required","1","0","0","0","0"
"","","Admin can add category","0","0","1","0","0"
"","","Admin can update category","1","0","1","0","0"
"","","Admin can update user's role","0","0","1","0","0"
"","","Admin can unlock user","0","0","1","0","0"
