"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 18 11:00:47 GMT 2021","Sun Apr 18 11:00:58 GMT 2021","11581","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testLoginSuccessfully","testLoginSuccessfully",""
"passed","Sun Apr 18 11:01:26 GMT 2021","Sun Apr 18 11:01:29 GMT 2021","3211","Petland Admin","Login Page","test.TestUserPage","test.TestUserPage","testDeleteUser","testDeleteUser",""
"failed","Sun Apr 18 11:02:08 GMT 2021","Sun Apr 18 11:02:18 GMT 2021","10569","Petland Admin","Login Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testDeleteCategory","testDeleteCategory",""
"passed","Sun Apr 18 11:01:46 GMT 2021","Sun Apr 18 11:01:51 GMT 2021","4563","Petland Admin","Login Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testAddSubCategory","testAddSubCategory",""
"passed","Sun Apr 18 11:01:01 GMT 2021","Sun Apr 18 11:01:04 GMT 2021","2775","Petland Admin","Login Page","test.TestUserPage","test.TestUserPage","testCreateUser","testCreateUser",""
"passed","Sun Apr 18 11:01:41 GMT 2021","Sun Apr 18 11:01:44 GMT 2021","2451","Petland Admin","Login Page","test.TestCategoryPage","test.TestCategoryPage","testDeleteCategory","testDeleteCategory",""
"passed","Sun Apr 18 11:01:14 GMT 2021","Sun Apr 18 11:01:17 GMT 2021","3582","Petland Admin","Login Page","test.TestUserPage","test.TestUserPage","testLockUser","testLockUser",""
"failed","Sun Apr 18 11:00:32 GMT 2021","Sun Apr 18 11:00:46 GMT 2021","14844","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testRequiredLogin","testRequiredLogin",""
"passed","Sun Apr 18 11:01:31 GMT 2021","Sun Apr 18 11:01:34 GMT 2021","2242","Petland Admin","Login Page","test.TestCategoryPage","test.TestCategoryPage","testAddCategory","testAddCategory",""
"failed","Sun Apr 18 11:01:53 GMT 2021","Sun Apr 18 11:02:05 GMT 2021","11980","Petland Admin","Login Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testUpdateCategory","testUpdateCategory",""
"passed","Sun Apr 18 11:01:07 GMT 2021","Sun Apr 18 11:01:11 GMT 2021","4343","Petland Admin","Login Page","test.TestUserPage","test.TestUserPage","testUpdateUser","testUpdateUser",""
"passed","Sun Apr 18 11:01:20 GMT 2021","Sun Apr 18 11:01:24 GMT 2021","3457","Petland Admin","Login Page","test.TestUserPage","test.TestUserPage","testUnLockUser","testUnLockUser",""
"passed","Sun Apr 18 11:01:36 GMT 2021","Sun Apr 18 11:01:39 GMT 2021","3157","Petland Admin","Login Page","test.TestCategoryPage","test.TestCategoryPage","testUpdateCategory","testUpdateCategory",""
